source_file,metric,i,j,value,err
example.out,density-density correlation function,0,0,1.50000000000246,0.0
example.out,density-density correlation function,0,1,0.887719403503192,5.615460000447138e-05
example.out,density-density correlation function,0,2,1.00063664624779,1.794208043891662e-06
example.out,density-density correlation function,0,3,0.994851655059298,4.70068385148539e-05
example.out,density-density correlation function,0,4,1.00010092724235,1.48922326845522e-06
example.out,density-density correlation function,1,1,1.00051032922783,4.582108234386618e-06
example.out,density-density correlation function,1,2,0.997922073605221,2.030267018979945e-05
example.out,density-density correlation function,1,3,1.0000998434445,2.528860495547468e-06
example.out,density-density correlation function,1,4,0.998907316559428,1.221352804193204e-05
example.out,density-density correlation function,2,2,1.00011252399124,2.434612970778577e-06
example.out,density-density correlation function,2,3,0.999633814088576,1.130259655110866e-05
example.out,density-density correlation function,2,4,1.00006641829404,1.920185044562544e-06
example.out,density-density correlation function,3,3,1.0000472052271,1.968239476667719e-06
example.out,density-density correlation function,3,4,0.99980835173705,9.286194783192262e-06
example.out,density-density correlation function,4,4,1.00003167266242,1.42331945721523e-06
